"row","col","results22","results23","results24","results25","results32","results33","results34","results35","results42","results43","results44","results45","results52","results53","results54","results55"
56,0.4,0.835877170341016,0.741716360134683,0.669680416061632,0.610343685863129,0.741716360134683,0.611406823675845,0.518543215910202,0.446940934117704,0.669680416061632,0.518543215910202,0.417669886167649,0.343930199132311,0.610343685863129,0.446940934117704,0.343930199132311,0.271717109152272
57,0.4,0.842509499285608,0.750231474319365,0.679087623502461,0.620186939732634,0.750231474319365,0.621210550958498,0.528505325744614,0.456653927630294,0.679087623502461,0.528505325744614,0.427164048889511,0.352716340425039,0.620186939732634,0.456653927630294,0.352716340425039,0.27952630122154
58,0.4,0.848904880984684,0.758520626304202,0.68829884792673,0.629866158289604,0.758520626304202,0.630851728148963,0.538362650723375,0.466306338814607,0.68829884792673,0.538362650723375,0.436615880904855,0.361499248218106,0.629866158289604,0.466306338814607,0.361499248218106,0.287361667802342
59,0.4,0.855069891531693,0.766586873055347,0.697314647240821,0.639380231250798,0.766586873055347,0.640329180780534,0.548112196038387,0.475894539494234,0.697314647240821,0.548112196038387,0.446021652433835,0.370275443790761,0.639380231250798,0.475894539494234,0.370275443790761,0.29522053208166
60,0.4,0.861011047498972,0.774433409260943,0.706135787969176,0.648728271628098,0.774433409260943,0.649641961602108,0.557751162882957,0.485415042773731,0.706135787969176,0.557751162882957,0.455377749813449,0.379041494865598,0.648728271628098,0.485415042773731,0.379041494865598,0.303100195567047
61,0.4,0.866734796690719,0.782063553318534,0.71476323327385,0.657909607182487,0.782063553318534,0.658789341680032,0.567276945475103,0.494864504127608,0.71476323327385,0.567276945475103,0.464680676913872,0.387794019803113,0.657909607182487,0.494864504127608,0.387794019803113,0.310997945306451
62,0.4,0.872247509804601,0.789480733971728,0.723198131235661,0.666923771838399,0.789480733971728,0.667770801500095,0.576687127777124,0.504239722063841,0.723198131235661,0.576687127777124,0.473927060409751,0.396529695099184,0.666923771838399,0.504239722063841,0.396529695099184,0.318911059632193
63,0.4,0.877555472949542,0.796688477586863,0.731441803415573,0.675770497092014,0.796688477586863,0.676586022098016,0.585979479946289,0.513537638397605,0.731441803415573,0.585979479946289,0.48311364637963,0.405245255159591,0.675770497092014,0.513537638397605,0.405245255159591,0.326836817322344
64,0.4,0.882664880260274,0.803690396059221,0.739495733711703,0.684449703443216,0.803690396059221,0.685234876243928,0.595151953788981,0.522755338167856,0.739495733711703,0.595151953788981,0.492237304537995,0.413937498695887,0.684449703443216,0.522755338167856,0.413937498695887,0.334772498598064
65,0.4,0.887581830740583,0.810490175336149,0.747361557524843,0.692961491877755,0.810490175336149,0.693717419703872,0.604202681686139,0.531890048427934,0.747361557524843,0.604202681686139,0.501295028256048,0.422603291355525,0.692961491877755,0.531890048427934,0.422603291355525,0.34271539304333
66,0.4,0.892312318998627,0.817091564543263,0.755041050492239,0.701306135423364,0.817091564543263,0.702033882598194,0.61312996820241,0.540939140596071,0.755041050492239,0.61312996820241,0.510283935018891,0.43123956866309,0.701306135423364,0.540939140596071,0.43123956866309,0.35066280356364
67,0.4,0.89686223333739,0.823498365699466,0.762536121204459,0.709484070800328,0.823498365699466,0.7101846608751,0.62193228846738,0.549900125056444,0.762536121204459,0.62193228846738,0.519201266592048,0.439843338640709,0.709484070800328,0.549900125056444,0.439843338640709,0.358612050664256
68,0.4,0.901237351178862,0.829714424004944,0.769848797119819,0.717495889451911,0.829714424004944,0.71817030791545,0.630608283058095,0.558770652754241,0.769848797119819,0.630608283058095,0.528044388918696,0.448411684129719,0.717495889451911,0.558770652754241,0.448411684129719,0.366560476394314
69,0.4,0.905443335712266,0.835743617977632,0.77698121778054,0.725342332274083,0.835743617977632,0.725991525489055,0.639156753425232,0.567548513044902,0.77698121778054,0.639156753425232,0.536810791767615,0.456941764833255,0.725342332274083,0.567548513044902,0.456941764833255,0.374505447985328
70,0.4,0.909485733080268,0.841589853595013,0.783935624965904,0.73302427753028,0.841589853595013,0.733649158733227,0.647576657227828,0.576231632016678,0.783935624965904,0.647576657227828,0.545498088150456,0.465430819097725,0.73302427753028,0.576231632016678,0.465430819097725,0.38244436120866
71,0.4,0.913369970065925,0.847257052172164,0.790714353850612,0.740542735708117,0.847257052172164,0.741144183765059,0.65586710359481,0.584818070622199,0.790714353850612,0.65586710359481,0.554104013525698,0.47387616544962,0.740542735708117,0.584818070622199,0.47387616544962,0.39037464347341
72,0.4,0.91710135224397,0.852749145393027,0.797319824502867,0.747898841231437,0.852749145393027,0.748477702821288,0.664027348330251,0.593306022636376,0.797319824502867,0.664027348330251,0.5626264248055,0.482275203146819,0.747898841231437,0.593306022636376,0.482275203146819,0.3982937558678
73,0.4,0.920685062562549,0.858070067571496,0.803754533721156,0.755093844994664,0.858070067571496,0.755650935996338,0.672056789078081,0.601693812457529,0.803754533721156,0.672056789078081,0.57106329837725,0.490625416166806,0.755093844994664,0.601693812457529,0.490625416166806,0.406199198908259
74,0.4,0.924126160322219,0.863223749021113,0.810021047206926,0.762129107080729,0.863223749021113,0.76266521387356,0.67995496046069,0.609979892766883,0.810021047206926,0.67995496046069,0.579412731852869,0.498924369921009,0.762129107080729,0.609979892766883,0.498924369921009,0.414088510485526
75,0.4,0.927429580521895,0.868214109876546,0.816121992070458,0.769006089669183,0.868214109876546,0.769521970354312,0.687721529204733,0.618162842060892,0.816121992070458,0.687721529204733,0.587672938103303,0.507169714630668,0.769006089669183,0.618162842060892,0.507169714630668,0.421959270957342
76,0.4,0.930600133542472,0.873045054349045,0.822060049665356,0.775726350139752,0.873045054349045,0.77622273568949,0.69535628926674,0.626241362070209,0.822060049665356,0.69535628926674,0.595842246497894,0.515359185198668,0.775726350139752,0.626241362070209,0.515359185198668,0.429809104501098
77,0.4,0.93364250514005,0.877720465398691,0.827837948747172,0.782291534375712,0.877720465398691,0.782769129717042,0.702859156969807,0.634214275078148,0.827837948747172,0.702859156969807,0.603919100443021,0.523490601557693,0.782291534375712,0.634214275078148,0.523490601557693,0.437635680981607
78,0.4,0.936561256723388,0.882244199805583,0.833458458950604,0.788703370270394,0.882244199805583,0.789162855308381,0.710230166161672,0.642080521150466,0.833458458950604,0.710230166161672,0.611902055498566,0.531561868859015,0.788703370270394,0.642080521150466,0.531561868859015,0.445436717654203
79,0.4,0.939360825889976,0.886620083623,0.838924384579433,0.794963661439514,0.886620083623,0.795405692025127,0.717469462704138,0.649839154494006,0.838924384579433,0.717469462704138,0.619789777387729,0.539570977511224,0.794963661439514,0.649839154494006,0.539570977511224,0.453209980711943
80,0.4,0.942045527198616,0.890851907995397,0.844238558703025,0.801074281140495,0.890851907995397,0.801499489987985,0.724577302415132,0.657489343610781,0.844238558703025,0.724577302415132,0.627581039910631,0.547516003077516,0.801074281140495,0.657489343610781,0.547516003077516,0.460953286684863
81,0.4,0.944619553155546,0.894943425324688,0.849403837551951,0.807037166400402,0.894943425324688,0.807446163957616,0.731554042400819,0.665030363875418,0.849403837551951,0.731554042400819,0.635274722771396,0.555395106040389,0.807037166400402,0.665030363875418,0.555395106040389,0.468664503698692
82,0.4,0.947086975394963,0.89889834576849,0.854423095206426,0.812854312352097,0.89889834576849,0.813247687627705,0.738400138942968,0.672461597393773,0.854423095206426,0.738400138942968,0.642869809327991,0.563206531441365,0.812854312352097,0.672461597393773,0.563206531441365,0.476341552600014
83,0.4,0.949451746032857,0.902720334054643,0.859299218569148,0.818527766778618,0.902720334054643,0.818906088129277,0.745116142274366,0.679782529250317,0.859299218569148,0.745116142274366,0.650365384273513,0.570948608403683,0.818527766778618,0.679782529250317,0.570948608403683,0.483982407167356
84,0.4,0.951717699178065,0.90641300659602,0.864035102616185,0.824059624864645,0.90641300659602,0.824423440745314,0.751702692043041,0.686992744423482,0.864035102616185,0.751702692043041,0.657760631257499,0.578619749544933,0.824059624864645,0.686992744423482,0.578619749544933,0.491585098010601
85,0.4,0.953888552581781,0.909979928890665,0.868633645916595,0.8294520241539,0.909979928890665,0.829801863833614,0.758160512850766,0.694091924678912,0.868633645916595,0.758160512850766,0.665054830454862,0.586218449502394,0.8294520241539,0.694091924678912,0.586218449502394,0.499147708966443
86,0.4,0.955967909411411,0.913424613192596,0.873097746414242,0.834707139710276,0.913424613192596,0.835043513956093,0.76449040987025,0.701079845448829,0.873097746414242,0.76449040987025,0.672247356090292,0.593743287173846,0.834707139710276,0.701079845448829,0.593743287173846,0.50666838055626
87,0.4,0.957959260132523,0.916750516438868,0.877430296790226,0.839827178814818,0.916750516438868,0.840150580566719,0.770693264545821,0.707956372703618,0.877430296790226,0.770693264545821,0.679337673177967,0.601192920454111,0.839827178814818,0.707956372703618,0.601192920454111,0.514145309853305
88,0.4,0.959865984485968,0.91996103841925,0.881634183370825,0.844814379125464,0.91996103841925,0.845125284061452,0.776770030381295,0.714721459822732,0.881634183370825,0.776770030381295,0.686325337869799,0.60856608810587,0.844814379125464,0.714721459822732,0.60856608810587,0.52157675092775
89,0.4,0.961691353547263,0.923059520174461,0.885712278788954,0.849671000630802,0.923059520174461,0.849969867826744,0.782721728818677,0.72137514447054,0.885712278788954,0.782721728818677,0.693209990680708,0.615861608036858,0.849671000630802,0.72137514447054,0.615861608036858,0.528961015195533
